"approval_ym","size_bucket","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2025-02-01","350-2M","1616","0","0","0.00","767252.66"
"2025-02-01","50-150k","1830","0","0","0.00","114828.96"
"2025-02-01",">2M","304","0","0","0.00","3356511.18"
"2025-02-01","≤50k","1867","0","0","0.00","34469.09"
"2025-03-01","150-350k","1791","0","0","0.00","256054.38"
"2025-03-01","350-2M","2601","0","0","0.00","759227.22"
"2025-03-01","50-150k","2063","0","0","0.00","113697.67"
"2025-03-01",">2M","481","0","0","0.00","3309290.44"
"2025-03-01","≤50k","1875","0","0","0.00","35299.31"
"2025-04-01","150-350k","1161","0","0","0.00","253142.29"
"2025-04-01","350-2M","1308","0","0","0.00","762470.80"
"2025-04-01","50-150k","1800","0","0","0.00","114792.39"
"2025-04-01",">2M","246","0","0","0.00","3357969.51"
"2025-04-01","≤50k","1546","0","0","0.00","34262.29"
"2025-05-01","150-350k","1489","0","0","0.00","258564.88"
"2025-05-01","350-2M","2543","0","0","0.00","770063.19"
"2025-05-01","50-150k","2102","0","0","0.00","115160.13"
"2025-05-01",">2M","515","0","0","0.00","3277226.99"
"2025-05-01","≤50k","1808","0","0","0.00","35412.94"
"2025-06-01","150-350k","784","0","0","0.00","269167.22"
"2025-06-01","350-2M","853","0","0","0.00","894265.18"
"2025-06-01","50-150k","968","0","0","0.00","115864.26"
"2025-06-01",">2M","248","0","0","0.00","3343606.45"
"2025-06-01","≤50k","963","0","0","0.00","31807.58"
