"approval_ym","processing_bucket","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2023-10-01","EXPRESS","1786","17","0.009518477043673012","688430.01","89961.81"
"2023-10-01","PLP","1916","4","0.0020876826722338203","1644011.68","631761.48"
"2023-10-01","STANDARD","220","0","0","0.00","874990.91"
"2023-11-01","CAPLINES","19","0","0","0.00","1662578.95"
"2023-11-01","EXPORT/TRADE","15","0","0","0.00","1926553.33"
"2023-11-01","EXPRESS","2155","6","0.0027842227378190253","291635.56","95649.65"
"2023-11-01","PLP","3112","13","0.004177377892030848","1794932.31","688715.36"
"2023-11-01","STANDARD","291","1","0.003436426116838488","126687.21","776397.94"
"2023-12-01","CAPLINES","18","0","0","0.00","911666.67"
"2023-12-01","EXPORT/TRADE","11","0","0","0.00","1787181.82"
"2023-12-01","EXPRESS","2040","6","0.0029411764705882353","206124.59","97986.37"
"2023-12-01","PLP","2616","8","0.0030581039755351682","1186026.96","623479.51"
"2023-12-01","STANDARD","311","0","0","0.00","747372.99"
"2024-01-01","CAPLINES","10","0","0","0.00","1060000.00"
"2024-01-01","EXPORT/TRADE","15","0","0","0.00","2735500.00"
"2024-01-01","EXPRESS","2108","8","0.003795066413662239","214618.96","96153.56"
"2024-01-01","PLP","2889","12","0.004153686396677051","1665670.28","577318.45"
"2024-01-01","STANDARD","242","0","0","0.00","778751.65"
"2024-02-01","CAPLINES","11","0","0","0.00","1354545.45"
"2024-02-01","EXPORT/TRADE","15","0","0","0.00","2465540.00"
"2024-02-01","EXPRESS","1831","2","0.0010922992900054614","134992.93","107824.25"
"2024-02-01","PLP","2987","7","0.002343488449949782","652390.34","555644.59"
"2024-02-01","STANDARD","277","0","0","0.00","747171.48"
"2024-03-01","CAPLINES","20","0","0","0.00","1434750.00"
"2024-03-01","EXPORT/TRADE","16","0","0","0.00","1277106.25"
"2024-03-01","EXPRESS","2529","3","0.0011862396204033216","77709.68","100192.37"
"2024-03-01","PLP","3494","8","0.0022896393817973667","901928.42","613855.84"
"2024-03-01","STANDARD","333","1","0.003003003003003003","235873.00","734812.61"
"2024-04-01","CAPLINES","23","0","0","0.00","868743.48"
"2024-04-01","EXPORT/TRADE","17","0","0","0.00","2328258.82"
"2024-04-01","EXPRESS","2536","6","0.002365930599369085","134798.13","99158.40"
"2024-04-01","PLP","3325","4","0.0012030075187969924","473571.10","582630.83"
"2024-04-01","STANDARD","301","0","0","0.00","861141.20"
"2024-05-01","CAPLINES","37","0","0","0.00","1272005.41"
"2024-05-01","EXPORT/TRADE","22","0","0","0.00","1818890.91"
"2024-05-01","EXPRESS","2567","2","0.0007791195948578107","45000.00","101896.18"
"2024-05-01","PLP","3488","4","0.0011467889908256881","589803.51","626283.54"
"2024-05-01","STANDARD","318","0","0","0.00","731127.36"
"2024-06-01","CAPLINES","14","0","0","0.00","730000.00"
"2024-06-01","EXPORT/TRADE","18","0","0","0.00","1932027.78"
