"approval_ym","naics_code_2","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2022-04-01","55","4","0","0","0.00","2520375.00"
"2021-11-01","61","47","2","0.0425531914893617","265753.54","296438.30"
"2025-06-01","11","35","0","0","0.00","327945.71"
"2020-01-01","49","13","0","0","0.00","320000.00"
"2020-02-01","33","102","2","0.0196078431372549","156251.65","667923.53"
"2020-10-01","61","42","1","0.023809523809523808","119186.01","251576.19"
"2024-11-01","71","213","0","0","0.00","331306.10"
"2019-12-01","49","13","0","0","0.00","865223.08"
"2020-07-01","71","74","2","0.02702702702702703","49726.56","364018.92"
"2025-03-01","61","119","0","0","0.00","510163.87"
"2024-08-01","54","746","0","0","0.00","405181.90"
"2022-06-01","49","32","2","0.0625","39222.77","543193.75"
"2021-07-01","71","169","1","0.005917159763313609","9844.73","636432.54"
"2021-05-01","21","3","0","0","0.00","310000.00"
"2024-03-01","62","580","0","0","0.00","497858.62"
"2023-03-01","54","474","9","0.0189873417721519","580457.54","410786.08"
"2021-02-01","49","11","0","0","0.00","643945.45"
"2021-02-01","54","350","7","0.02","4869272.17","553978.57"
"2022-10-01","44","260","3","0.011538461538461539","172053.24","709333.08"
"2025-02-01","92","4","0","0","0.00","113750.00"
"2022-06-01","32","73","1","0.0136986301369863","140935.19","733921.92"
"2022-09-01","61","63","4","0.06349206349206349","576110.94","715012.70"
"2023-08-01","51","41","0","0","0.00","571685.37"
"2024-05-01","33","164","0","0","0.00","692435.98"
"2021-03-01","51","37","0","0","0.00","711102.70"
"2025-04-01","71","214","0","0","0.00","419915.42"
"2021-01-01","44","89","0","0","0.00","512567.42"
"2024-11-01","53","115","0","0","0.00","425754.78"
"2020-01-01","61","56","2","0.03571428571428571","120462.11","500246.43"
"2024-11-01","92","2","0","0","0.00","195500.00"
"2021-08-01","49","54","1","0.018518518518518517","15870.83","519118.52"
"2024-11-01","31","106","0","0","0.00","427673.58"
"2020-01-01","32","59","2","0.03389830508474576","244943.93","582986.44"
"2022-03-01","31","77","0","0","0.00","503889.61"
"2022-07-01","11","40","0","0","0.00","977057.50"
"2023-09-01","62","723","2","0.0027662517289073307","163717.09","639582.57"
"2020-03-01","11","43","0","0","0.00","772004.65"
"2020-10-01","22","9","0","0","0.00","311166.67"
"2019-11-01","62","337","7","0.020771513353115726","2814281.89","661797.33"
"2021-01-01","53","32","1","0.03125","121650.80","793384.38"
"2019-12-01","62","317","5","0.015772870662460567","386298.66","594432.18"
"2024-03-01","31","99","0","0","0.00","335920.20"
"2021-05-01","71","98","3","0.030612244897959183","390325.84","555350.00"
"2023-06-01","49","31","0","0","0.00","530964.52"
"2022-08-01","81","446","11","0.02466367713004484","955233.47","488388.12"
"2023-11-01","53","150","0","0","0.00","718500.00"
"2023-12-01","44","254","0","0","0.00","482130.71"
"2021-09-01","72","1190","9","0.007563025210084034","503116.05","1173060.08"
